,date,basis_factor_shift,profit_factor_shift,consumption_factor_shift,y,signal
0,2013-01-15,-117.0,5848.0,20186.85,1,1.0
1,2013-01-16,-127.0,5853.0,33269.04,1,1.0
2,2013-01-17,-267.0,5771.0,50940.09,1,1.0
3,2013-01-18,-267.0,5639.0,43349.14,1,1.0
4,2013-01-21,-313.0,5564.0,26600.87,1,1.0
5,2013-01-22,-189.0,5460.0,29983.2,1,1.0
6,2013-01-23,-216.0,5463.0,29674.99,1,1.0
7,2013-01-24,-429.0,5251.0,23273.96,1,1.0
8,2013-01-25,-496.0,5178.0,15754.37,1,1.0
9,2013-01-28,-589.0,4925.0,18053.71,0,1.0
10,2013-01-29,-603.0,5208.0,18810.76,1,1.0
11,2013-01-30,-1118.0,5140.0,18663.45,0,0.0
12,2013-01-31,-1057.0,4943.0,21889.18,0,0.0
13,2013-02-01,-1004.0,4780.0,18343.82,0,0.0
14,2013-02-18,-850.0,4817.0,22891.55,0,0.0
15,2013-02-19,-530.0,4903.0,29458.24,0,1.0
16,2013-02-20,-745.0,4908.0,28903.52,0,0.0
17,2013-02-21,-672.0,4769.0,28100.4,0,0.0
18,2013-02-22,-522.0,4743.0,24409.19,1,1.0
19,2013-02-25,-598.0,4905.0,15418.79,1,1.0
20,2013-02-26,-494.0,4906.0,14885.9,1,1.0
21,2013-02-27,-366.0,5090.0,13420.08,1,1.0
22,2013-02-28,-396.0,5100.0,11622.9849,1,1.0
23,2013-03-01,-550.0,4838.0,13436.4717,1,1.0
24,2013-03-04,-514.0,4683.0,20488.4216,1,1.0
25,2013-03-05,-754.0,4654.0,22507.5717,1,1.0
26,2013-03-06,-760.0,4516.0,21096.7866,1,1.0
27,2013-03-07,-819.0,4398.0,16256.4383,1,1.0
28,2013-03-08,-793.0,4352.0,15409.2068,1,1.0
29,2013-03-11,-906.0,4448.0,13651.9232,0,0.0
30,2013-03-12,-809.0,4371.0,17719.168,1,1.0
31,2013-03-13,-751.0,4382.0,14596.558,1,1.0
32,2013-03-14,-949.0,4329.0,19336.3912,0,0.0
33,2013-03-15,-944.0,4144.0,17371.6731,0,0.0
34,2013-03-18,-1011.0,3816.0,18845.9405,0,0.0
35,2013-03-19,-778.0,3542.0,23830.7921,1,1.0
36,2013-03-20,-797.0,3764.0,21276.9846,1,1.0
37,2013-03-21,-796.0,3749.0,19896.8234,1,1.0
38,2013-03-22,-837.0,4070.0,20307.8783,1,1.0
39,2013-03-25,-790.0,4198.0,23623.1481,1,1.0
40,2013-03-26,-772.0,4330.0,24678.93,1,1.0
41,2013-03-27,-908.0,4448.0,21735.86,1,1.0
42,2013-03-28,-889.0,4223.0,25129.1013,1,0.0
43,2013-04-02,-862.0,4193.0,28587.0183,1,1.0
44,2013-04-03,-890.0,4347.0,16607.0639,0,0.0
45,2013-04-08,-837.0,4114.0,14524.4782,0,0.0
46,2013-04-09,-922.0,4429.0,14355.1789,0,0.0
47,2013-04-10,-890.0,4644.0,11565.9509,0,0.0
48,2013-04-11,-999.0,4708.0,9755.5822,0,0.0
49,2013-04-12,-919.0,4574.0,9208.2955,0,0.0
50,2013-04-15,-873.0,4638.0,8832.5604,0,0.0
51,2013-04-16,-785.0,4494.0,12513.1068,0,0.0
52,2013-04-17,-783.0,4633.0,12413.7887,0,0.0
53,2013-04-18,-805.0,4718.0,11608.6499,0,0.0
54,2013-04-19,-782.0,4550.0,14038.8312,0,0.0
55,2013-04-22,-514.0,4693.0,17187.3265,0,0.0
56,2013-04-23,-582.0,4695.0,15638.7247,1,1.0
57,2013-04-24,-560.0,4574.0,20947.5597,1,1.0
58,2013-04-25,-506.0,4668.0,19728.4665,1,1.0
59,2013-04-26,-464.0,4870.0,15520.563,1,1.0
60,2013-05-02,-545.0,4837.0,16395.0189,1,1.0
61,2013-05-03,-510.0,4745.0,16330.4657,1,1.0
62,2013-05-07,-627.0,4492.0,23780.4981,1,1.0
63,2013-05-08,-715.0,4285.0,25221.5823,1,0.0
64,2013-05-09,-738.0,4314.0,28615.8003,1,1.0
65,2013-05-10,-826.0,4248.0,24881.9902,0,0.0
66,2013-05-13,-959.0,4234.0,21432.9962,0,0.0
67,2013-05-14,-824.0,4462.0,26600.7866,1,1.0
68,2013-05-15,-818.0,4525.0,24510.1407,0,0.0
69,2013-05-16,-794.0,4407.0,21917.8924,1,1.0
70,2013-05-17,-770.0,4484.0,26249.3026,1,1.0
71,2013-05-20,-815.0,4500.0,23067.0,1,1.0
72,2013-05-21,-892.0,4419.0,25781.4012,0,0.0
73,2013-05-22,-857.0,4503.0,22091.6813,0,0.0
74,2013-05-23,-812.0,4738.0,22594.9381,0,1.0
75,2013-05-24,-798.0,4800.0,59604.5479,1,1.0
76,2013-05-28,-805.0,5017.0,46159.8039,1,1.0
77,2013-05-29,-845.0,5012.0,22955.5392,1,1.0
78,2013-05-30,-795.0,5007.0,21928.6454,1,1.0
79,2013-05-31,-762.0,5084.0,28499.9287,1,1.0
80,2013-06-03,-784.0,5113.0,19416.5531,1,1.0
81,2013-06-04,-830.0,5267.0,25085.2668,0,0.0
82,2013-06-05,-875.0,4845.0,21656.4782,0,0.0
83,2013-06-06,-883.0,4593.0,22206.8758,0,0.0
84,2013-06-07,-875.0,4653.0,35184.7822,0,0.0
85,2013-06-13,-904.0,4571.0,18716.9615,0,0.0
86,2013-06-14,-1027.0,4188.0,32598.0081,0,0.0
87,2013-06-17,-747.0,4063.0,39138.8599,0,0.0
88,2013-06-18,-566.0,4025.0,38295.6468,1,1.0
89,2013-06-19,-646.0,4119.0,40140.8189,1,1.0
90,2013-06-20,-660.0,4393.0,41666.5623,1,1.0
91,2013-06-21,-588.0,4505.0,34210.1219,1,1.0
92,2013-06-24,-604.0,4699.0,28957.9246,1,1.0
93,2013-06-25,-672.0,4774.0,27733.639,0,0.0
94,2013-06-26,-695.0,4958.0,38660.9815,0,0.0
95,2013-06-27,-723.0,4705.0,31833.5397,0,0.0
96,2013-06-28,-740.0,4878.0,31476.789,0,0.0
97,2013-07-01,-650.0,4842.0,50311.5557,1,1.0
98,2013-07-02,-658.0,4924.0,41264.6212,0,0.0
99,2013-07-03,-685.0,4705.0,43298.9148,0,0.0
100,2013-07-04,-710.0,4808.0,56939.1336,0,0.0
101,2013-07-05,-731.0,4647.0,44914.272,0,0.0
102,2013-07-08,-710.0,4648.0,34498.0983,0,0.0
103,2013-07-09,-720.0,4765.0,30739.2019,0,0.0
104,2013-07-10,-623.0,4715.0,39653.1872,0,0.0
105,2013-07-11,-440.0,4597.0,35680.5123,1,1.0
106,2013-07-12,-547.0,4494.0,6756.2182,1,0.0
107,2013-07-15,-519.0,4766.0,19563.6482,1,1.0
108,2013-07-16,-515.0,4719.0,57168.8031,1,1.0
109,2013-07-17,-595.0,4719.0,66645.3725,1,1.0
110,2013-07-18,-597.0,4817.0,60378.1564,1,1.0
111,2013-07-19,-620.0,4915.0,14932.8682,0,0.0
112,2013-07-22,-649.0,4756.0,24205.7526,0,0.0
113,2013-07-23,-674.0,4537.0,83923.3909,0,0.0
114,2013-07-24,-661.0,4535.0,75084.4691,0,0.0
115,2013-07-25,-719.0,4578.0,64462.6598,0,0.0
116,2013-07-26,-741.0,4576.0,32583.673,0,0.0
117,2013-07-29,-583.0,4530.0,42937.026,0,1.0
118,2013-07-30,-476.0,4667.0,129288.1635,0,0.0
119,2013-07-31,-539.0,4742.0,101933.8809,0,0.0
120,2013-11-28,-618.0,4668.0,96895.3814,0,0.0
121,2013-11-29,995.0,6288.0,12311.5538,1,1.0
122,2013-12-02,913.0,6286.0,14450.18,1,1.0
123,2013-12-03,772.0,6107.0,16853.4238,1,1.0
124,2013-12-04,820.0,6216.0,14693.9102,1,1.0
125,2013-12-06,785.0,6211.0,13419.0149,1,1.0
126,2013-12-09,732.0,6170.0,20977.6885,0,1.0
127,2013-12-10,697.0,5929.0,13197.1009,0,0.0
128,2013-12-11,705.0,5945.0,13115.0656,0,0.0
129,2013-12-12,694.0,5916.0,11988.3618,1,1.0
130,2013-12-13,689.0,5669.0,11495.9742,1,1.0
131,2013-12-16,693.0,5601.0,10586.0422,0,1.0
132,2013-12-17,718.0,5601.0,8848.1,1,1.0
133,2013-12-18,721.0,5596.0,9903.1947,1,1.0
134,2013-12-19,728.0,5721.0,7729.0011,1,1.0
135,2013-12-20,676.0,5724.0,6257.5128,1,1.0
136,2013-12-23,680.0,5692.0,8067.3784,1,1.0
137,2013-12-24,734.0,5717.0,8826.2204,1,1.0
138,2013-12-26,681.0,5825.0,7761.6302,1,1.0
139,2013-12-27,546.0,5830.0,7960.0406,1,1.0
140,2013-12-30,220.0,5723.0,6765.545,1,1.0
141,2013-12-31,343.0,5572.0,12291.8368,1,1.0
142,2014-01-02,189.0,5498.0,9818.3787,1,1.0
143,2014-01-03,145.0,5539.0,12370.2536,1,1.0
144,2014-01-06,209.0,5636.0,10708.2762,1,1.0
145,2014-01-07,231.0,5766.0,12123.2418,1,1.0
146,2014-01-08,37.0,5680.0,13565.7866,1,1.0
147,2014-01-09,-248.0,5506.0,7336.7967,1,1.0
148,2014-01-10,-184.0,5720.0,8669.68,1,1.0
149,2014-01-13,-148.0,5732.0,5700.1501,1,1.0
150,2014-01-14,-310.0,5713.0,7113.3079,1,1.0
151,2014-01-15,-468.0,5496.0,4378.6266,0,1.0
152,2014-01-16,-449.0,5444.0,21981.5781,1,1.0
153,2014-01-17,-383.0,5281.0,8460.3015,1,1.0
154,2014-01-20,-473.0,4951.0,10261.0737,1,1.0
155,2014-01-21,-406.0,4898.0,8333.4997,1,1.0
156,2014-01-22,-413.0,4891.0,4494.1016,1,1.0
157,2014-02-07,-402.0,4682.0,11138.9453,1,0.0
158,2014-02-10,-437.0,4961.0,13360.0893,1,1.0
159,2014-02-11,-605.0,4799.0,14748.512,0,0.0
160,2014-02-12,-491.0,4798.0,13749.8912,1,1.0
161,2014-02-13,-565.0,4615.0,11785.0861,0,0.0
162,2014-02-14,-461.0,4657.0,10805.4994,1,0.0
163,2014-02-17,-617.0,4689.0,11425.7631,0,0.0
164,2014-02-18,-554.0,4616.0,12704.7758,0,0.0
165,2014-02-19,-500.0,4625.0,14505.6427,0,0.0
166,2014-02-20,-585.0,4563.0,11229.7384,0,0.0
167,2014-02-21,-512.0,4807.0,11643.8016,0,0.0
168,2014-02-24,-527.0,4845.0,4587.7951,0,0.0
169,2014-02-25,-341.0,4731.0,11645.1977,0,0.0
170,2014-02-26,-313.0,4581.0,12062.6634,0,0.0
171,2014-02-27,-122.0,4869.0,8722.6741,0,0.0
172,2014-02-28,65.0,5044.0,5314.8116,0,0.0
173,2014-03-03,701.0,4830.0,9798.585,1,1.0
174,2014-03-04,281.0,4927.0,8892.4624,0,0.0
175,2014-03-05,171.0,4774.0,10094.7484,0,0.0
176,2014-03-06,100.0,4642.0,10167.1603,0,0.0
177,2014-03-07,169.0,4733.0,10688.7816,0,0.0
178,2014-03-10,116.0,4269.0,10984.083,0,0.0
179,2014-03-11,433.0,4304.0,10650.8419,0,0.0
180,2014-03-12,475.0,4294.0,7074.3077,0,0.0
181,2014-03-13,637.0,4298.0,8596.5131,0,0.0
182,2014-03-14,527.0,4222.0,7458.2999,0,0.0
183,2014-03-17,520.0,4271.0,5068.9947,0,0.0
184,2014-03-18,480.0,4189.0,6945.8647,0,0.0
185,2014-03-19,3297.0,4248.0,6140.9569,0,0.0
186,2014-03-20,3248.0,4123.0,4954.963,0,0.0
187,2014-03-21,3243.0,4193.0,5065.6991,0,0.0
188,2014-03-24,3202.0,4256.0,4457.0512,0,0.0
189,2014-03-25,3247.0,4059.0,2877.5716,0,0.0
190,2014-03-26,3434.0,4486.0,214.975,0,1.0
191,2014-03-27,3426.0,4006.0,937.3534,0,0.0
